Provinsi,Tahun,RLS,IPM,IPM_growth,RLS_growth,RLS_growth_perc,IPM_growth_perc
Aceh,2019,9.59,71.9,,,3.1282586027111647,3.8942976356050027
Aceh,2020,9.71,71.99,,,,
Aceh,2021,9.77,72.18,0.0019454969889382001,0.009346115557636536,,
Aceh,2022,9.79,72.8,0.0056144462353554525,0.004113139805642985,,
Aceh,2023,9.89,74.7,0.017344269058732875,0.006130793751692454,,
Bali,2019,9.19,75.38,,,5.984766050054415,3.4889891217829794
Bali,2020,9.31,75.5,,,,
Bali,2021,9.45,75.69,0.002054245245721953,0.014047632683449662,,
Bali,2022,9.74,76.44,0.006212697487748442,0.022862712336396585,,
Bali,2023,9.74,78.01,0.015223911754402741,0.015343915343915437,,
Banten,2019,9.07,72.44,,,4.52039691289967,4.596907785753725
Banten,2020,9.22,72.45,,,,
Banten,2021,9.29,72.72,0.0019323766766927708,0.012065114187794546,,
Banten,2022,9.46,73.32,0.005988766578521099,0.01294571869549277,,
Banten,2023,9.48,75.77,0.020832995738198967,0.010206705703238672,,
Bengkulu,2019,9.08,71.21,,,2.9735682819383213,4.339278191265277
Bengkulu,2020,9.2,71.4,,,,
Bengkulu,2021,9.26,71.64,0.003014754560720534,0.00986879908063587,,
Bengkulu,2022,9.28,72.16,0.005309929667009161,0.004340783172128826,,
Bengkulu,2023,9.35,74.3,0.01845741704333448,0.004851465331049298,,
DI Yogyakarta,2019,9.83,79.99,,,3.3570701932858604,1.3751718964870716
DI Yogyakarta,2020,9.95,79.97,,,,
DI Yogyakarta,2021,10.04,80.22,0.0014380705303557173,0.010626377053119085,,
DI Yogyakarta,2022,10.07,80.64,0.00418088720442944,0.0060166369697092215,,
DI Yogyakarta,2023,10.16,81.09,0.005407979618548997,0.005962742871611915,,
DKI Jakarta,2019,11.11,80.76,,,2.790279027902795,3.4546805349182663
DKI Jakarta,2020,11.17,80.77,,,,
DKI Jakarta,2021,11.2,81.11,0.002166653697144638,0.004043152748578249,,
DKI Jakarta,2022,11.3,81.65,0.0054335545830633825,0.005807168435861376,,
DKI Jakarta,2023,11.42,83.55,0.014963840280106111,0.009774020227560132,,
Gorontalo,2019,8.11,68.49,,,4.562268803945758,4.029785370127033
Gorontalo,2020,8.26,68.68,,,,
Gorontalo,2021,8.32,69.0,0.0037167085341138772,0.012879803429240222,,
Gorontalo,2022,8.39,69.81,0.008199209946570085,0.007838692028310779,,
Gorontalo,2023,8.48,71.25,0.016183273855122304,0.009570258778765939,,
Jambi,2019,8.86,71.26,,,3.386004514672694,3.4661801852371577
Jambi,2020,8.97,71.29,,,,
Jambi,2021,9.03,71.63,0.0025951229471617987,0.009552156548917723,,
Jambi,2022,9.07,72.14,0.00594458708501211,0.0055593210294928586,,
Jambi,2023,9.16,73.73,0.014580199335517352,0.007176250670007267,,
Jawa Barat,2019,8.79,72.03,,,4.209328782707634,3.068166041926966
Jawa Barat,2020,8.96,72.09,,,,
Jawa Barat,2021,9.03,72.45,0.002913372029236694,0.013576329635949902,,
Jawa Barat,2022,9.14,73.12,0.007120757438295322,0.009997058416389759,,
Jawa Barat,2023,9.16,74.24,0.012282521862961304,0.007184900320109766,,
Jawa Tengah,2019,8.03,71.73,,,5.105853051058533,2.3142339328035644
Jawa Tengah,2020,8.19,71.87,,,,
Jawa Tengah,2021,8.26,72.16,0.0029934134332689766,0.0142361443731307,,
Jawa Tengah,2022,8.38,72.79,0.00638283098918746,0.01153742679166414,,
Jawa Tengah,2023,8.44,73.39,0.00848674458828036,0.010843874785462893,,
Jawa Timur,2019,8.11,71.5,,,5.178791615289765,4.405594405594414
Jawa Timur,2020,8.31,71.71,,,,
Jawa Timur,2021,8.37,72.14,0.004466718611189413,0.015940564530129486,,
Jawa Timur,2022,8.5,72.75,0.007226077356131788,0.011375938649724637,,
Jawa Timur,2023,8.53,74.65,0.017286309457460125,0.00953053622882849,,
Kalimantan Barat,2019,7.8,67.65,,,4.7435897435897445,4.168514412416841
Kalimantan Barat,2020,7.9,67.66,,,,
Kalimantan Barat,2021,8.0,67.9,0.0018474835811158608,0.012739370334307054,,
Kalimantan Barat,2022,8.1,68.63,0.0071491260338771845,0.012579113924050533,,
Kalimantan Barat,2023,8.17,70.47,0.01878076866044609,0.010570987654320962,,
Kalimantan Selatan,2019,8.59,70.72,,,4.190919674039574,5.571266968325789
Kalimantan Selatan,2020,8.69,70.91,,,,
Kalimantan Selatan,2021,8.74,71.28,0.003952266702869189,0.008697591734977084,,
Kalimantan Selatan,2022,8.89,71.84,0.006537111505851345,0.011458105663418205,,
Kalimantan Selatan,2023,8.95,74.66,0.023555119369892963,0.011955813875668242,,
Kalimantan Tengah,2019,8.83,70.91,,,2.71800679501699,3.9768720913834543
Kalimantan Tengah,2020,8.95,71.05,,,,
Kalimantan Tengah,2021,9.03,71.25,0.0023946263667328216,0.011264290730559234,,
Kalimantan Tengah,2022,9.03,71.63,0.004074126202204931,0.004469273743016755,,
Kalimantan Tengah,2023,9.07,73.73,0.017325329238214837,0.0022148394241418012,,
Kalimantan Timur,2019,9.88,76.61,,,2.9352226720647687,2.0754470695731673
Kalimantan Timur,2020,9.99,76.24,,,,
Kalimantan Timur,2021,10.09,76.88,0.0017824434219571028,0.01057180662443813,,
Kalimantan Timur,2022,10.13,77.44,0.007839311315490871,0.00698716556001,,
Kalimantan Timur,2023,10.17,78.2,0.008549064335532042,0.003956494217393858,,
Kalimantan Utara,2019,9.24,71.15,,,3.1385281385281294,2.4314827828531125
Kalimantan Utara,2020,9.3,70.63,,,,
Kalimantan Utara,2021,9.4,71.19,0.0003100695288432709,0.008623097332774776,,
Kalimantan Utara,2022,9.45,71.83,0.008459334454580802,0.00803591855410657,,
Kalimantan Utara,2023,9.53,72.88,0.011803937192545244,0.006892378700889323,,
Kepulauan Bangka Belitung,2019,8.35,71.3,,,3.712574850299407,3.913043478260878
Kepulauan Bangka Belitung,2020,8.49,71.47,,,,
Kepulauan Bangka Belitung,2021,8.54,71.69,0.002731253180308202,0.011327874286762074,,
Kepulauan Bangka Belitung,2022,8.57,72.24,0.005375067702746539,0.004701081034858445,,
Kepulauan Bangka Belitung,2023,8.66,74.09,0.016640500805810476,0.00700731542688815,,
Kepulauan Riau,2019,10.13,75.48,,,3.8499506416584284,4.769475357710644
Kepulauan Riau,2020,10.22,75.59,,,,
Kepulauan Riau,2021,10.38,75.79,0.0020515961593212673,0.012270039390081533,,
Kepulauan Riau,2022,10.46,76.46,0.005743034506697331,0.011681353196912658,,
Kepulauan Riau,2023,10.52,79.08,0.02155324970559469,0.006721633380858183,,
Lampung,2019,8.36,69.57,,,4.306220095693795,4.182837429926709
Lampung,2020,8.51,69.69,,,,
Lampung,2021,8.56,69.9,0.002369113113572574,0.01190901219505347,,
Lampung,2022,8.61,70.45,0.005440864108803178,0.0058582810766881765,,
Lampung,2023,8.72,72.48,0.018341572823794672,0.00930848176973087,,
Maluku,2019,10.03,69.45,,,3.4895314057826665,4.751619870410363
Maluku,2020,10.2,69.49,,,,
Maluku,2021,10.25,69.71,0.0018709385390484057,0.010925556663343272,,
Maluku,2022,10.37,70.22,0.005240973340223665,0.008304638928742225,,
Maluku,2023,10.38,72.75,0.021672822358290267,0.0063358186137310035,,
Maluku Utara,2019,9.32,68.7,,,3.1115879828326087,3.3187772925764207
Maluku Utara,2020,9.42,68.49,,,,
Maluku Utara,2021,9.51,68.76,0.00044270639069482476,0.010141876930646943,,
Maluku Utara,2022,9.6,69.47,0.007133976068658288,0.009508931262432352,,
Maluku Utara,2023,9.61,70.98,0.0160308859742756,0.005252694532071445,,
Nusa Tenggara Barat,2019,7.98,68.14,,,5.137844611528823,6.2078074552392195
Nusa Tenggara Barat,2020,8.08,68.25,,,,
Nusa Tenggara Barat,2021,8.13,68.65,0.003737564656261405,0.009359723566341627,,
Nusa Tenggara Barat,2022,8.31,69.46,0.008829893097919261,0.014164170107047624,,
Nusa Tenggara Barat,2023,8.39,72.37,0.026846797970568548,0.015883588438772467,,
Nusa Tenggara Timur,2019,7.98,65.23,,,4.135338345864662,4.859727119423581
Nusa Tenggara Timur,2020,8.09,65.19,,,,
Nusa Tenggara Timur,2021,8.2,65.28,0.00038368253252896167,0.013690747263709224,,
Nusa Tenggara Timur,2022,8.25,65.9,0.00543906443157105,0.009847297175073044,,
Nusa Tenggara Timur,2023,8.31,68.4,0.023716908045464002,0.0066851441241685405,,
Papua,2019,6.85,60.84,,,7.15328467153285,3.5667324128862496
Papua,2020,6.96,60.44,,,,
Papua,2021,7.05,60.62,-0.001798230900201092,0.014494714321671376,,
Papua,2022,7.31,61.39,0.007840119340387641,0.0249052335534361,,
Papua,2023,7.34,63.01,0.019545370585289934,0.020491699896188154,,
Papua Barat,2019,9.92,64.7,,,2.217741935483877,4.281298299845434
Papua Barat,2020,10.0,65.09,,,,
Papua Barat,2021,10.03,65.26,0.00431979451588016,0.005532258064516071,,
Papua Barat,2022,10.14,65.89,0.006132730620705851,0.006983549351944229,,
Papua Barat,2023,10.14,67.47,0.01681652622962493,0.0054835493519442835,,
Riau,2019,9.35,73.0,,,2.6737967914438503,2.671232876712333
Riau,2020,9.47,72.71,,,,
Riau,2021,9.52,72.94,-0.0004046757337745066,0.00905702782216855,,
Riau,2022,9.54,73.52,0.005557496214646296,0.0036903356907704854,,
Riau,2023,9.6,74.95,0.013701115409896159,0.004195074256117537,,
Sulawesi Barat,2019,8.22,65.73,,,3.1630170316301673,6.191997565799472
Sulawesi Barat,2020,8.33,66.11,,,,
Sulawesi Barat,2021,8.39,66.36,0.004781401194727142,0.010292438143140514,,
