Provinsi,IPM 2019,IPM 2020,IPM 2021,IPM 2022,IPM 2023
Aceh,"71,90","71,99","72,18","72,80","74,70"
Sumatera Utara,"71,74","71,77","72,00","72,71","75,13"
Sumatera Barat,"72,39","72,38","72,65","73,26","75,64"
Riau,"73,00","72,71","72,94","73,52","74,95"
Jambi,"71,26","71,29","71,63","72,14","73,73"
Sumatera Selatan,"70,02","70,01","70,24","70,90","73,18"
Bengkulu,"71,21","71,40","71,64","72,16","74,30"
Lampung,"69,57","69,69","69,90","70,45","72,48"
Kepulauan Bangka Belitung,"71,30","71,47","71,69","72,24","74,09"
Kepulauan Riau,"75,48","75,59","75,79","76,46","79,08"
DKI Jakarta,"80,76","80,77","81,11","81,65","83,55"
Jawa Barat,"72,03","72,09","72,45","73,12","74,24"
Jawa Tengah,"71,73","71,87","72,16","72,79","73,39"
DI Yogyakarta,"79,99","79,97","80,22","80,64","81,09"
Jawa Timur,"71,50","71,71","72,14","72,75","74,65"
Banten,"72,44","72,45","72,72","73,32","75,77"
Bali,"75,38","75,50","75,69","76,44","78,01"
Nusa Tenggara Barat,"68,14","68,25","68,65","69,46","72,37"
Nusa Tenggara Timur,"65,23","65,19","65,28","65,90","68,40"
Kalimantan Barat,"67,65","67,66","67,90","68,63","70,47"
Kalimantan Tengah,"70,91","71,05","71,25","71,63","73,73"
Kalimantan Selatan,"70,72","70,91","71,28","71,84","74,66"
Kalimantan Timur,"76,61","76,24","76,88","77,44","78,20"
Kalimantan Utara,"71,15","70,63","71,19","71,83","72,88"
Sulawesi Utara,"72,99","72,93","73,30","73,81","75,04"
Sulawesi Tengah,"69,50","69,55","69,79","70,28","71,66"
Sulawesi Selatan,"71,66","71,93","72,24","72,82","74,60"
Sulawesi Tenggara,"71,20","71,45","71,66","72,23","72,94"
Gorontalo,"68,49","68,68","69,00","69,81","71,25"
Sulawesi Barat,"65,73","66,11","66,36","66,92","69,80"
Maluku,"69,45","69,49","69,71","70,22","72,75"
Maluku Utara,"68,70","68,49","68,76","69,47","70,98"
Papua Barat,"64,70","65,09","65,26","65,89","67,47"
Papua,"60,84","60,44","60,62","61,39","63,01"
