Provinsi,2019_Domestic,2019_Foreign,2023_Domestic,2023_Foreign
Aceh,3606.9,3353.9,8883.3,3790
Sumatera Utara,19749,9256.8,21574,18009
Sumatera Barat,3026.6,3832,4488.2,1840.1
Riau,26292.2,25221.4,48243.3,31134.9
Jambi,4437.4,1331.9,8939,687.6
Sumatera Selatan,16921.1,17964.8,25602.4,22541.3
Bengkulu,5458.1,3532,7218.7,1160.2
Lampung,2428.9,3785.7,7625.8,3363.1
Kepulauan Bangka Belitung,2915.2,2163.6,7961.4,1105.3
Kepulauan Riau,5656.4,33256.1,8856.6,11648.8
DKI Jakarta,62094.8,100568.3,95202.1,73633.4
Jawa Barat,49284.2,143449.4,88012.9,126285.1
Jawa Tengah,18654.7,66424.3,32987.2,23838.7
DI Yogyakarta,6298.8,356.2,5015.5,701.3
Jawa Timur,45452.7,21130.8,74937.4,72276.6
Banten,20708.4,45569.2,37971.7,67864.7
Bali,7393.2,10391,6950.8,12325.6
Nusa Tenggara Barat,3519,6603,30766.2,7140.8
Nusa Tenggara Timur,3752.6,3093,3407.2,1895
Kalimantan Barat,7699.1,12983.9,14892,7477.7
Kalimantan Tengah,8591.9,6915.2,8779.5,10635
Kalimantan Selatan,10061,9095.8,14909.4,4998.9
Kalimantan Timur,21952,21001.6,52171.7,20317.1
Kalimantan Utara,4400.9,1992.9,8199.1,19393.2
Sulawesi Utara,8259.6,5378.5,7698.2,3105.5
Sulawesi Tengah,4438.8,44027.6,4772.5,110436.4
Sulawesi Selatan,5672.6,7381.1,11468.3,5133
Sulawesi Tenggara,3827.1,24092,7734.6,6834.4
Gorontalo,844.4,4178.4,3960.1,515.3
Sulawesi Barat,1187.2,246.4,2011.1,370.5
Maluku,283.2,805,1904.5,1620.6
Maluku Utara,682.7,24599.4,6901,76197.6
Papua Barat,380.2,1127,1261.9,439.1
Papua,567.7,22952.9,1174.1,126.6
